epoch,batch_idx,data_type,loss,run_time
0,0,train,111.026382,1.27
0,1,train,82.927704,1.32
0,2,train,103.140945,1.37
0,3,train,91.009415,1.41
0,4,train,104.084091,1.47
0,5,train,83.385132,1.51
0,6,train,109.024284,1.56
0,7,train,92.783165,1.61
0,8,train,92.467697,1.64
0,9,train,111.086075,1.68
0,10,train,89.806030,1.71
0,11,train,86.206001,1.74
0,12,train,112.683769,1.77
0,0,val,104.203819,1.93
0,1,val,111.670921,1.95
0,2,val,149.376129,1.96
0,3,val,68.279839,1.97
0,4,val,129.107315,1.98
0,5,val,164.667374,1.99
0,6,val,65.903061,1.99
0,7,val,46.302921,2.00
0,8,val,161.661621,2.01
0,9,val,177.594223,2.01
0,10,val,43.400276,2.02
0,11,val,73.395538,2.03
0,12,val,96.998184,2.04
0,13,val,66.691879,2.05
0,14,val,50.526283,2.05
0,15,val,92.713852,2.06
0,16,val,74.482132,2.07
0,17,val,101.298843,2.07
0,18,val,142.667877,2.08
0,19,val,102.587463,2.09
0,20,val,55.275818,2.09
0,21,val,93.605797,2.10
0,22,val,135.805862,2.11
0,23,val,146.871201,2.11
0,24,val,106.581573,2.12
0,25,val,191.664490,2.13
0,26,val,126.253502,2.13
0,27,val,160.539932,2.15
0,28,val,41.074776,2.16
0,29,val,191.814041,2.16
0,30,val,122.940041,2.17
0,31,val,55.660686,2.17
0,32,val,166.330811,2.18
0,33,val,113.419197,2.18
0,34,val,52.169624,2.19
1,0,train,75.544868,0.18
1,1,train,112.200134,0.23
1,2,train,105.527794,0.27
1,3,train,90.922592,0.30
1,4,train,107.222626,0.36
1,5,train,83.498886,0.41
1,6,train,88.183258,0.45
1,7,train,85.702850,0.49
1,8,train,81.667419,0.52
1,9,train,91.888901,0.56
1,10,train,91.086990,0.59
1,11,train,90.105927,0.63
1,12,train,83.736191,0.66
1,0,val,103.296249,0.84
1,1,val,108.329643,0.86
1,2,val,148.658279,0.88
1,3,val,64.539131,0.88
1,4,val,131.615677,0.89
1,5,val,163.506012,0.90
1,6,val,65.387062,0.91
1,7,val,45.540703,0.92
1,8,val,156.928101,0.93
1,9,val,173.119507,0.94
1,10,val,36.666965,0.95
1,11,val,71.935860,0.97
1,12,val,95.192368,0.98
1,13,val,70.328629,0.99
1,14,val,49.199543,1.00
1,15,val,91.124512,1.01
1,16,val,77.492676,1.02
1,17,val,103.643402,1.03
1,18,val,139.999084,1.03
1,19,val,102.723984,1.04
1,20,val,50.372658,1.05
1,21,val,91.937775,1.07
1,22,val,130.089706,1.08
1,23,val,142.538315,1.09
1,24,val,103.074127,1.10
1,25,val,187.081161,1.10
1,26,val,117.513695,1.11
1,27,val,162.202026,1.12
1,28,val,37.105560,1.13
1,29,val,188.246719,1.14
1,30,val,119.879013,1.15
1,31,val,55.721653,1.16
1,32,val,163.968582,1.17
1,33,val,107.671570,1.17
1,34,val,64.917664,1.18
2,0,train,93.495804,0.25
2,1,train,91.108292,0.30
2,2,train,80.135658,0.34
2,3,train,90.954056,0.39
2,4,train,96.203781,0.45
2,5,train,89.567070,0.49
2,6,train,81.118454,0.54
2,7,train,92.521393,0.59
2,8,train,93.699631,0.63
2,9,train,82.085983,0.67
2,10,train,90.506134,0.71
2,11,train,70.378830,0.74
2,12,train,102.370117,0.78
2,0,val,99.053047,0.97
2,1,val,107.833900,0.99
2,2,val,143.704926,0.99
2,3,val,59.008869,1.00
2,4,val,125.471397,1.01
2,5,val,161.780609,1.03
2,6,val,60.466240,1.04
2,7,val,44.598003,1.05
2,8,val,153.437363,1.06
2,9,val,170.896408,1.07
2,10,val,37.269463,1.09
2,11,val,72.916222,1.10
2,12,val,92.203476,1.11
2,13,val,66.945320,1.12
2,14,val,53.505478,1.13
2,15,val,88.385490,1.14
2,16,val,71.481331,1.15
2,17,val,96.063202,1.16
2,18,val,134.746033,1.17
2,19,val,98.386932,1.18
2,20,val,57.120541,1.19
2,21,val,91.006409,1.20
2,22,val,125.732712,1.21
2,23,val,139.608856,1.22
2,24,val,109.690971,1.23
2,25,val,184.943283,1.24
2,26,val,115.840401,1.25
2,27,val,157.280167,1.26
2,28,val,35.114746,1.27
2,29,val,186.007950,1.28
2,30,val,121.225266,1.29
2,31,val,54.354527,1.30
2,32,val,167.567123,1.31
2,33,val,101.326538,1.31
2,34,val,56.547142,1.32
3,0,train,95.555893,0.21
3,1,train,77.892960,0.27
3,2,train,83.657211,0.30
3,3,train,89.834595,0.35
3,4,train,104.138954,0.40
3,5,train,78.701645,0.45
3,6,train,98.012436,0.49
3,7,train,83.917145,0.54
3,8,train,89.120026,0.59
3,9,train,60.993340,0.62
3,10,train,79.176781,0.66
3,11,train,79.309761,0.70
3,12,train,73.040092,0.73
3,0,val,100.452507,0.92
3,1,val,107.316872,0.94
3,2,val,144.930069,0.96
3,3,val,59.865932,0.97
3,4,val,125.478012,0.98
3,5,val,157.949585,1.00
3,6,val,59.946301,1.01
3,7,val,46.062481,1.02
3,8,val,153.985458,1.04
3,9,val,169.535858,1.05
3,10,val,37.561634,1.06
3,11,val,67.605148,1.06
3,12,val,90.960213,1.07
3,13,val,63.896095,1.08
3,14,val,46.343536,1.09
3,15,val,86.793701,1.09
3,16,val,72.144211,1.10
3,17,val,98.667702,1.11
3,18,val,138.563217,1.11
3,19,val,101.024727,1.12
3,20,val,48.159103,1.13
3,21,val,89.412460,1.14
3,22,val,124.530869,1.15
3,23,val,137.766708,1.15
3,24,val,100.212952,1.16
3,25,val,181.983765,1.17
3,26,val,110.727745,1.17
3,27,val,151.846146,1.18
3,28,val,42.201469,1.19
3,29,val,184.145950,1.20
3,30,val,126.300346,1.20
3,31,val,53.744095,1.21
3,32,val,160.846588,1.21
3,33,val,98.723877,1.22
3,34,val,49.452686,1.22
4,0,train,75.593803,0.15
4,1,train,88.368477,0.19
4,2,train,99.637062,0.22
4,3,train,74.152359,0.25
4,4,train,97.328323,0.29
4,5,train,91.172867,0.33
4,6,train,81.792732,0.37
4,7,train,80.863960,0.41
4,8,train,86.477478,0.44
4,9,train,76.508560,0.47
4,10,train,95.070648,0.50
4,11,train,91.021500,0.53
4,12,train,90.268784,0.56
4,0,val,97.200340,0.69
4,1,val,104.477333,0.70
4,2,val,140.963318,0.71
4,3,val,59.267780,0.72
4,4,val,121.449829,0.73
4,5,val,157.041229,0.74
4,6,val,59.464588,0.74
4,7,val,42.785522,0.75
4,8,val,151.670517,0.76
4,9,val,168.619034,0.76
4,10,val,36.137398,0.77
4,11,val,67.710754,0.78
4,12,val,93.708870,0.79
4,13,val,64.042755,0.79
4,14,val,46.522694,0.80
4,15,val,85.262306,0.81
4,16,val,70.033997,0.81
4,17,val,93.821304,0.82
4,18,val,134.037857,0.84
4,19,val,96.619514,0.84
4,20,val,48.144836,0.85
4,21,val,89.027458,0.86
