epoch,batch_idx,data_type,loss,run_time
0,0,train,69.330055,1.24
0,1,train,114.180054,1.27
0,2,train,87.675316,1.30
0,3,train,73.300911,1.33
0,4,train,46.576019,1.36
0,5,train,71.481171,1.40
0,6,train,43.966541,1.43
0,7,train,91.227303,1.45
0,8,train,109.447983,1.48
0,9,train,45.714268,1.51
0,10,train,94.388138,1.54
0,11,train,64.495399,1.56
0,12,train,80.218124,1.59
0,13,train,48.987045,1.62
0,14,train,69.710106,1.65
0,15,train,92.895576,1.67
0,16,train,46.053917,1.70
0,17,train,92.916061,1.72
0,18,train,44.282421,1.75
0,19,train,78.960632,1.77
0,20,train,85.659729,1.80
0,21,train,102.390419,1.82
0,22,train,81.302345,1.85
0,23,train,80.803085,1.87
0,24,train,44.497719,1.90
0,25,train,84.266670,1.93
0,26,train,61.994877,1.95
0,27,train,74.570312,1.97
0,28,train,88.116264,2.00
0,29,train,41.728989,2.02
0,0,val,39.143089,2.17
0,1,val,35.761436,2.18
0,2,val,34.315468,2.19
0,3,val,27.562353,2.20
0,4,val,37.376778,2.20
0,5,val,43.259369,2.21
0,6,val,33.259892,2.22
0,7,val,56.906662,2.22
0,8,val,136.896637,2.23
0,9,val,91.907455,2.24
0,10,val,211.091782,2.24
0,11,val,60.486969,2.25
0,12,val,39.662151,2.25
0,13,val,41.268478,2.26
0,14,val,33.552639,2.27
0,15,val,32.644081,2.27
0,16,val,35.761448,2.28
0,17,val,281.472900,2.29
0,18,val,27.510319,2.30
0,19,val,43.495064,2.30
0,20,val,44.029121,2.31
0,21,val,33.499119,2.32
0,22,val,41.833721,2.32
0,23,val,52.701611,2.33
0,24,val,150.395050,2.34
0,25,val,57.174660,2.34
0,26,val,27.916290,2.35
0,27,val,34.728714,2.36
0,28,val,25.315392,2.36
0,29,val,29.607117,2.37
0,30,val,20.229010,2.38
0,31,val,41.932816,2.39
0,32,val,32.936363,2.39
0,33,val,27.137838,2.40
0,34,val,28.782780,2.41
0,35,val,47.639446,2.42
0,36,val,62.530708,2.42
0,37,val,55.057323,2.44
0,38,val,37.692726,2.45
0,39,val,153.448410,2.45
0,40,val,50.945862,2.46
0,41,val,39.593102,2.47
0,42,val,63.500656,2.47
0,43,val,40.453678,2.48
0,44,val,189.046234,2.49
0,45,val,129.850555,2.50
0,46,val,282.538513,2.51
0,47,val,39.928951,2.51
0,48,val,120.854698,2.52
0,49,val,25.304810,2.53
0,50,val,37.251114,2.54
0,51,val,27.451157,2.54
0,52,val,34.814537,2.55
0,53,val,29.685112,2.56
0,54,val,27.335897,2.56
0,55,val,26.280760,2.57
0,56,val,29.392027,2.58
0,57,val,32.890446,2.58
0,58,val,37.120621,2.59
0,59,val,29.145435,2.60
0,60,val,87.171295,2.60
0,61,val,53.554749,2.61
0,62,val,33.399170,2.62
0,63,val,50.440346,2.62
0,64,val,20.240749,2.63
0,65,val,194.742966,2.64
0,66,val,43.218224,2.64
0,67,val,29.631546,2.65
0,68,val,147.982529,2.66
0,69,val,28.217251,2.66
0,70,val,184.682709,2.67
0,71,val,207.678894,2.68
0,72,val,32.761723,2.68
0,73,val,28.873821,2.69
0,74,val,79.834953,2.70
0,75,val,60.603096,2.71
0,76,val,36.669846,2.71
0,77,val,27.379555,2.71
0,78,val,43.362114,2.72
0,79,val,75.798950,2.72
1,0,train,42.481033,0.11
1,1,train,54.741150,0.15
1,2,train,58.505795,0.17
1,3,train,54.362350,0.20
1,4,train,44.796089,0.23
1,5,train,69.492989,0.26
1,6,train,98.630875,0.29
1,7,train,52.634193,0.31
1,8,train,102.779610,0.34
1,9,train,73.423576,0.37
1,10,train,68.593575,0.40
1,11,train,52.600815,0.43
1,12,train,52.990044,0.46
1,13,train,88.278412,0.49
1,14,train,57.658607,0.52
1,15,train,52.900932,0.54
1,16,train,48.921768,0.57
1,17,train,56.023712,0.59
1,18,train,72.164520,0.62
1,19,train,45.746422,0.64
1,20,train,38.783508,0.67
1,21,train,78.276016,0.70
1,22,train,45.771782,0.72
1,23,train,48.898094,0.75
1,24,train,75.688675,0.77
1,25,train,37.789757,0.80
1,26,train,63.831673,0.82
1,27,train,50.429379,0.84
1,28,train,97.027649,0.86
1,29,train,69.727547,0.89
1,0,val,32.352890,1.01
1,1,val,34.856850,1.01
1,2,val,32.510418,1.02
1,3,val,26.778160,1.03
1,4,val,36.379646,1.03
1,5,val,44.320595,1.04
1,6,val,34.286983,1.05
1,7,val,55.005211,1.06
1,8,val,129.577972,1.07
1,9,val,99.833824,1.07
1,10,val,205.531921,1.08
1,11,val,65.463860,1.09
1,12,val,24.207617,1.09
1,13,val,43.831848,1.10
1,14,val,29.473318,1.11
1,15,val,34.238743,1.11
1,16,val,36.100471,1.12
1,17,val,280.314575,1.12
1,18,val,26.420042,1.13
1,19,val,41.874004,1.14
1,20,val,71.220917,1.14
1,21,val,27.853363,1.15
1,22,val,38.557949,1.16
1,23,val,51.373322,1.17
1,24,val,148.391052,1.17
1,25,val,55.364128,1.18
1,26,val,28.629440,1.19
1,27,val,32.902740,1.19
1,28,val,25.478397,1.20
1,29,val,27.085720,1.21
1,30,val,17.099895,1.21
1,31,val,48.921631,1.22
1,32,val,30.697973,1.22
1,33,val,26.284237,1.23
1,34,val,28.940704,1.24
1,35,val,44.816315,1.24
1,36,val,61.303921,1.25
1,37,val,31.462830,1.26
1,38,val,29.352087,1.27
1,39,val,126.518753,1.28
1,40,val,46.861889,1.28
1,41,val,36.446915,1.29
1,42,val,40.622875,1.30
1,43,val,39.830750,1.30
1,44,val,183.632233,1.31
1,45,val,127.650208,1.32
1,46,val,276.947479,1.33
1,47,val,49.369858,1.33
1,48,val,117.787811,1.34
1,49,val,24.407421,1.35
1,50,val,33.842770,1.35
1,51,val,25.671141,1.36
1,52,val,30.434788,1.37
1,53,val,27.689270,1.38
1,54,val,26.823492,1.38
1,55,val,25.034451,1.39
1,56,val,26.642197,1.40
1,57,val,39.317699,1.40
1,58,val,36.752197,1.41
1,59,val,26.371883,1.41
1,60,val,84.099594,1.42
1,61,val,54.039192,1.43
1,62,val,30.976841,1.43
1,63,val,78.619186,1.44
1,64,val,19.969772,1.45
1,65,val,191.594223,1.46
1,66,val,65.191185,1.47
1,67,val,28.359806,1.48
1,68,val,144.755753,1.49
1,69,val,29.430716,1.50
1,70,val,178.592010,1.51
1,71,val,211.626328,1.51
1,72,val,50.938274,1.52
1,73,val,26.845449,1.53
1,74,val,74.552193,1.53
1,75,val,57.648479,1.54
1,76,val,34.101997,1.54
1,77,val,27.570293,1.55
1,78,val,43.387112,1.55
1,79,val,73.485268,1.56
2,0,train,43.594990,0.19
2,1,train,94.528076,0.23
2,2,train,59.625290,0.27
2,3,train,91.570587,0.30
2,4,train,73.847252,0.34
2,5,train,55.150902,0.38
2,6,train,39.932976,0.41
2,7,train,76.522095,0.45
2,8,train,89.178787,0.48
2,9,train,68.102921,0.51
2,10,train,40.596016,0.55
2,11,train,46.363899,0.58
2,12,train,77.860550,0.62
2,13,train,75.846611,0.66
2,14,train,64.914040,0.69
2,15,train,72.148277,0.72
2,16,train,45.042385,0.76
2,17,train,69.806984,0.79
2,18,train,61.829514,0.82
2,19,train,67.372635,0.85
2,20,train,49.392315,0.89
2,21,train,55.723808,0.92
2,22,train,41.975075,0.95
2,23,train,41.264935,0.99
2,24,train,82.213394,1.02
2,25,train,49.828304,1.05
2,26,train,68.133316,1.08
2,27,train,40.107746,1.11
2,28,train,77.307304,1.14
2,29,train,96.104683,1.17
2,0,val,28.262808,1.35
2,1,val,37.432785,1.37
2,2,val,32.008911,1.37
2,3,val,26.878668,1.38
2,4,val,41.523033,1.39
2,5,val,46.017193,1.40
2,6,val,27.422897,1.41
2,7,val,53.419521,1.41
2,8,val,126.025597,1.42
2,9,val,86.093346,1.43
2,10,val,202.303741,1.44
2,11,val,56.486427,1.45
2,12,val,21.978710,1.46
2,13,val,36.025867,1.47
2,14,val,27.500952,1.48
2,15,val,27.310240,1.48
2,16,val,38.731033,1.49
2,17,val,271.583435,1.50
2,18,val,25.253103,1.51
2,19,val,44.959824,1.52
2,20,val,40.421139,1.53
2,21,val,26.239475,1.53
2,22,val,36.379303,1.54
2,23,val,48.636196,1.55
2,24,val,143.212433,1.56
2,25,val,54.582443,1.57
2,26,val,28.199820,1.58
2,27,val,32.241226,1.59
2,28,val,24.330725,1.60
2,29,val,26.864218,1.62
2,30,val,16.106407,1.62
2,31,val,39.360168,1.63
2,32,val,29.036352,1.64
2,33,val,24.071157,1.65
2,34,val,25.727604,1.66
2,35,val,43.201126,1.67
2,36,val,61.747154,1.68
2,37,val,27.070286,1.69
2,38,val,27.766640,1.70
2,39,val,121.160172,1.71
2,40,val,45.643394,1.72
2,41,val,35.794456,1.73
2,42,val,40.086563,1.74
2,43,val,45.179241,1.75
2,44,val,179.386871,1.76
2,45,val,125.008362,1.77
2,46,val,270.351349,1.78
2,47,val,38.588585,1.79
2,48,val,115.203964,1.80
2,49,val,21.317661,1.81
2,50,val,46.994331,1.81
2,51,val,24.391380,1.82
2,52,val,29.599270,1.83
2,53,val,25.540289,1.84
2,54,val,34.705696,1.85
2,55,val,23.794050,1.85
2,56,val,25.292542,1.86
2,57,val,30.745735,1.87
2,58,val,38.840786,1.88
2,59,val,34.329296,1.89
2,60,val,95.332321,1.90
2,61,val,50.657829,1.90
2,62,val,58.706997,1.91
2,63,val,47.922726,1.92
2,64,val,17.491776,1.93
2,65,val,187.842331,1.94
2,66,val,34.426098,1.95
2,67,val,27.541115,1.96
2,68,val,142.780670,1.96
2,69,val,26.511112,1.97
2,70,val,185.972412,1.98
2,71,val,202.439804,1.99
2,72,val,29.408165,2.00
2,73,val,25.792202,2.01
2,74,val,82.762054,2.02
2,75,val,62.871624,2.03
2,76,val,41.131775,2.03
2,77,val,25.934311,2.04
2,78,val,41.657864,2.04
2,79,val,70.833260,2.05
3,0,train,59.021183,0.22
3,1,train,29.369118,0.27
3,2,train,64.866104,0.31
3,3,train,67.369400,0.36
3,4,train,55.727554,0.41
3,5,train,45.682991,0.44
3,6,train,40.571762,0.48
3,7,train,61.337708,0.52
3,8,train,61.415543,0.55
3,9,train,87.573074,0.58
3,10,train,58.932636,0.62
3,11,train,86.083649,0.65
3,12,train,82.429794,0.69
3,13,train,66.315445,0.73
3,14,train,50.858315,0.76
3,15,train,71.532410,0.79
3,16,train,55.078140,0.84
3,17,train,57.180092,0.87
3,18,train,41.269016,0.90
3,19,train,58.660583,0.94
3,20,train,76.531151,0.97
3,21,train,69.512596,1.00
3,22,train,36.348038,1.03
3,23,train,56.296890,1.07
3,24,train,39.252983,1.10
3,25,train,91.352821,1.13
3,26,train,74.852432,1.16
3,27,train,66.482651,1.20
3,28,train,57.400879,1.23
3,29,train,62.238483,1.26
3,0,val,27.530613,1.43
3,1,val,34.699089,1.45
3,2,val,34.683498,1.46
3,3,val,24.906937,1.47
3,4,val,33.159542,1.47
3,5,val,38.656902,1.48
3,6,val,28.158049,1.49
3,7,val,50.252899,1.50
3,8,val,128.260605,1.50
3,9,val,89.934494,1.51
