epoch,batch_idx,data_type,loss,run_time
0,0,train,122.561600,1.46
0,1,train,82.481361,1.54
0,0,val,92.713715,1.69
0,1,val,78.850731,1.70
0,2,val,65.245979,1.71
0,3,val,40.321850,1.72
1,0,train,86.622696,0.19
1,1,train,109.778038,0.22
1,0,val,89.697525,0.39
1,1,val,75.537651,0.41
1,2,val,64.104095,0.42
1,3,val,38.853752,0.42
2,0,train,105.578125,0.14
2,1,train,72.353111,0.18
2,0,val,89.163490,0.30
2,1,val,74.351883,0.30
2,2,val,63.088947,0.31
2,3,val,37.453461,0.31
3,0,train,94.003876,0.12
3,1,train,95.950882,0.15
3,0,val,88.740173,0.26
3,1,val,80.712685,0.26
3,2,val,66.464439,0.27
3,3,val,37.793880,0.27
4,0,train,89.030106,0.12
4,1,train,77.256752,0.15
4,0,val,88.991272,0.26
4,1,val,82.658844,0.27
4,2,val,62.659401,0.27
4,3,val,36.270359,0.28
5,0,train,72.177544,0.12
5,1,train,87.399010,0.15
5,0,val,88.478966,0.26
5,1,val,72.092346,0.27
5,2,val,61.671734,0.27
5,3,val,37.102062,0.28
6,0,train,86.626114,0.13
6,1,train,86.026131,0.16
6,0,val,89.462776,0.28
6,1,val,71.858727,0.28
6,2,val,60.929497,0.29
6,3,val,35.919510,0.29
7,0,train,70.994873,0.16
7,1,train,74.047775,0.19
7,0,val,92.881706,0.32
7,1,val,77.430954,0.33
7,2,val,61.762352,0.33
7,3,val,43.566093,0.34
8,0,train,82.795227,0.12
8,1,train,88.173187,0.15
8,0,val,89.381760,0.26
8,1,val,71.743446,0.26
8,2,val,64.678329,0.26
8,3,val,35.594952,0.27
9,0,train,63.251328,0.12
9,1,train,63.779026,0.15
9,0,val,86.934105,0.26
9,1,val,70.727867,0.26
9,2,val,60.773266,0.27
9,3,val,34.934174,0.27
10,0,train,70.598404,0.12
10,1,train,81.390266,0.15
10,0,val,87.064148,0.26
10,1,val,71.738281,0.27
10,2,val,60.914143,0.27
10,3,val,35.658852,0.28
11,0,train,94.942375,0.12
11,1,train,116.163704,0.15
11,0,val,87.107796,0.26
11,1,val,74.157700,0.27
11,2,val,63.635448,0.27
11,3,val,46.886383,0.28
12,0,train,74.851273,0.11
12,1,train,82.058434,0.15
12,0,val,94.276405,0.25
12,1,val,70.666206,0.26
12,2,val,59.942993,0.26
12,3,val,35.652405,0.27
13,0,train,82.682495,0.13
13,1,train,77.647217,0.16
13,0,val,86.530312,0.27
13,1,val,69.414398,0.27
13,2,val,60.541744,0.28
13,3,val,37.973274,0.28
14,0,train,64.663635,0.11
14,1,train,59.679428,0.15
14,0,val,85.486465,0.25
14,1,val,73.094597,0.26
14,2,val,59.530609,0.26
14,3,val,34.935574,0.27
15,0,train,67.402679,0.15
15,1,train,93.538651,0.19
15,0,val,91.917931,0.31
15,1,val,71.693382,0.31
15,2,val,59.055428,0.32
15,3,val,34.399811,0.32
16,0,train,81.273170,0.12
16,1,train,93.527115,0.15
16,0,val,89.272072,0.26
16,1,val,76.256454,0.27
16,2,val,59.591625,0.27
16,3,val,35.441132,0.28
17,0,train,68.072960,0.11
17,1,train,60.642105,0.15
17,0,val,86.587776,0.29
17,1,val,68.866341,0.31
17,2,val,60.396534,0.32
17,3,val,34.388355,0.33
18,0,train,87.758606,0.12
18,1,train,71.519051,0.15
18,0,val,84.603401,0.27
18,1,val,71.430420,0.27
18,2,val,68.238770,0.28
18,3,val,48.849670,0.28
19,0,train,81.899750,0.12
19,1,train,94.601761,0.16
19,0,val,84.542282,0.27
19,1,val,69.773384,0.27
19,2,val,60.358948,0.28
19,3,val,36.808086,0.28
20,0,train,79.969734,0.12
20,1,train,86.032822,0.15
20,0,val,89.814789,0.26
20,1,val,69.692650,0.26
20,2,val,59.935940,0.27
20,3,val,36.773808,0.27
21,0,train,72.963074,0.12
21,1,train,59.370014,0.15
21,0,val,84.349342,0.28
21,1,val,68.423119,0.28
21,2,val,59.158230,0.29
21,3,val,36.200844,0.29
22,0,train,64.547417,0.18
22,1,train,71.342590,0.21
22,0,val,84.742249,0.40
22,1,val,69.058502,0.42
22,2,val,60.762936,0.43
22,3,val,35.059692,0.43
23,0,train,78.486908,0.17
23,1,train,63.630623,0.21
23,0,val,92.304970,0.39
23,1,val,71.432495,0.41
23,2,val,58.675549,0.41
23,3,val,35.405254,0.42
24,0,train,86.811981,0.15
24,1,train,75.644249,0.18
