epoch,batch_idx,data_type,loss,run_time
0,0,train,88.630753,1.34
0,0,val,49.215919,1.47
0,1,val,51.494644,1.48
1,0,train,72.182838,0.12
1,0,val,47.318180,0.23
1,1,val,50.172688,0.24
2,0,train,67.013184,0.15
2,0,val,47.758293,0.27
2,1,val,56.966999,0.28
3,0,train,44.139133,0.11
3,0,val,46.174667,0.23
3,1,val,49.123158,0.24
4,0,train,50.362907,0.14
4,0,val,46.117836,0.26
4,1,val,49.091366,0.27
5,0,train,43.275719,0.15
5,0,val,49.144398,0.27
5,1,val,50.259453,0.28
6,0,train,55.086220,0.16
6,0,val,47.137257,0.38
6,1,val,51.286457,0.40
7,0,train,43.571930,0.23
7,0,val,52.360172,0.52
7,1,val,47.510960,0.54
0,0,train,94.685638,0.12
0,0,val,49.109821,0.25
0,1,val,51.937389,0.25
1,0,train,49.702671,0.15
1,0,val,47.002720,0.28
1,1,val,51.463566,0.29
2,0,train,50.011665,0.13
2,0,val,50.678127,0.26
2,1,val,56.860725,0.27
3,0,train,63.506824,0.13
3,0,val,47.407017,0.26
3,1,val,50.832874,0.26
4,0,train,55.584862,0.21
4,0,val,46.217857,0.38
4,1,val,59.379772,0.39
5,0,train,49.544632,0.21
5,0,val,51.253601,0.39
5,1,val,58.021873,0.43
6,0,train,46.552532,0.14
6,0,val,44.970627,0.33
6,1,val,47.073029,0.34
7,0,train,56.553928,0.14
7,0,val,44.474159,0.35
7,1,val,52.540966,0.37
8,0,train,48.157608,0.15
8,0,val,44.705585,0.34
8,1,val,46.286320,0.36
9,0,train,53.569637,0.19
9,0,val,45.172436,0.37
9,1,val,48.745575,0.37
10,0,train,58.385895,0.15
10,0,val,44.251156,0.33
10,1,val,46.065174,0.36
11,0,train,41.144619,0.21
11,0,val,43.518024,0.39
11,1,val,48.127739,0.41
12,0,train,62.431080,0.15
12,0,val,48.806660,0.31
12,1,val,45.361202,0.31
13,0,train,53.565742,0.12
13,0,val,44.956406,0.24
13,1,val,48.863201,0.25
14,0,train,45.068260,0.13
14,0,val,49.344433,0.25
14,1,val,52.252201,0.25
15,0,train,44.106590,0.12
15,0,val,51.260006,0.24
15,1,val,47.805458,0.25
16,0,train,47.652546,0.11
16,0,val,44.443302,0.24
16,1,val,49.929836,0.25
17,0,train,37.622082,0.11
17,0,val,50.864300,0.25
17,1,val,45.342720,0.25
18,0,train,48.690102,0.11
18,0,val,43.621651,0.23
18,1,val,48.807304,0.24
19,0,train,39.564175,0.11
19,0,val,44.674248,0.23
19,1,val,46.439350,0.23
20,0,train,48.602486,0.12
20,0,val,43.966492,0.25
20,1,val,47.297607,0.25
21,0,train,49.235813,0.11
21,0,val,42.490398,0.23
21,1,val,46.720215,0.24
22,0,train,49.504467,0.12
22,0,val,43.343719,0.25
22,1,val,54.787846,0.26
23,0,train,42.061218,0.13
23,0,val,43.318089,0.26
23,1,val,46.091324,0.27
24,0,train,49.581730,0.11
24,0,val,42.385273,0.23
24,1,val,46.913097,0.23
25,0,train,38.407681,0.11
25,0,val,42.835670,0.23
25,1,val,45.725792,0.24
26,0,train,50.376198,0.14
26,0,val,47.732540,0.26
26,1,val,45.884682,0.27
27,0,train,57.893932,0.11
27,0,val,45.904106,0.23
27,1,val,44.683945,0.23
28,0,train,46.315296,0.11
28,0,val,49.027748,0.23
28,1,val,47.008270,0.24
29,0,train,43.397907,0.13
29,0,val,42.121944,0.32
29,1,val,44.830154,0.33
30,0,train,40.136925,0.14
30,0,val,42.739906,0.34
30,1,val,46.079441,0.35
31,0,train,34.035130,0.20
31,0,val,41.768719,0.32
31,1,val,47.197334,0.32
32,0,train,38.922321,0.13
32,0,val,44.272511,0.26
32,1,val,44.931347,0.28
33,0,train,36.680851,0.14
33,0,val,51.548615,0.27
33,1,val,44.935444,0.27
34,0,train,44.793064,0.12
34,0,val,41.524330,0.29
34,1,val,44.857807,0.29
35,0,train,35.125233,0.13
35,0,val,43.387363,0.27
35,1,val,47.125839,0.27
36,0,train,31.600101,0.13
36,0,val,44.065895,0.26
36,1,val,45.033493,0.27
37,0,train,38.474487,0.11
37,0,val,41.656193,0.26
37,1,val,46.275330,0.28
38,0,train,49.677227,0.14
38,0,val,47.772850,0.31
38,1,val,53.227192,0.33
39,0,train,40.879387,0.21
39,0,val,46.818130,0.42
39,1,val,46.373474,0.47
40,0,train,56.182343,0.17
40,0,val,43.906693,0.39
40,1,val,48.582809,0.43
41,0,train,48.598530,0.15
41,0,val,43.309246,0.37
41,1,val,52.969509,0.39
42,0,train,32.750912,0.15
42,0,val,43.221024,0.39
42,1,val,45.261116,0.41
43,0,train,32.969116,0.19
43,0,val,41.725147,0.41
43,1,val,44.630386,0.43
44,0,train,46.388512,0.18
44,0,val,44.797359,0.36
44,1,val,48.658756,0.39
45,0,train,35.523148,0.15
45,0,val,41.886955,0.32
45,1,val,43.920803,0.34
46,0,train,43.173092,0.18
46,0,val,42.571716,0.37
46,1,val,48.793530,0.39
47,0,train,47.191143,0.15
47,0,val,41.523289,0.32
47,1,val,54.896530,0.34
48,0,train,38.782051,0.15
48,0,val,47.306427,0.31
