epoch,batch_idx,data_type,loss,run_time
0,0,train,132.252167,0.22
0,1,train,87.308495,0.28
0,2,train,90.897392,0.32
0,3,train,81.301117,0.37
0,4,train,59.097664,0.42
0,5,train,60.551929,0.46
0,6,train,51.025963,0.50
0,7,train,40.728863,0.54
0,8,train,45.184235,0.58
0,9,train,38.986267,0.61
0,10,train,45.883759,0.64
0,11,train,32.544159,0.67
0,12,train,41.243210,0.71
0,13,train,48.767456,0.74
0,0,val,29.604494,0.91
0,1,val,14.851319,0.94
0,2,val,40.534824,0.95
0,3,val,63.536274,0.96
0,4,val,11.197036,0.96
0,5,val,14.266435,0.97
0,6,val,67.821854,0.98
0,7,val,22.200165,0.99
0,8,val,13.140299,1.00
0,9,val,67.869385,1.00
0,10,val,61.998989,1.01
0,11,val,46.855270,1.02
0,12,val,51.185509,1.03
0,13,val,32.400814,1.04
0,14,val,40.331638,1.05
0,15,val,33.057652,1.06
0,16,val,43.819927,1.06
0,17,val,41.851376,1.07
0,18,val,9.639235,1.08
0,19,val,68.633522,1.09
0,20,val,27.929085,1.10
0,21,val,40.444576,1.10
0,22,val,41.311756,1.11
0,23,val,21.426514,1.12
0,24,val,16.622656,1.13
0,25,val,68.424675,1.14
0,26,val,18.811707,1.15
0,27,val,22.689997,1.16
0,28,val,12.341663,1.17
0,29,val,12.588165,1.18
0,30,val,13.317368,1.19
0,31,val,72.052223,1.19
0,32,val,62.584179,1.20
0,33,val,17.784307,1.20
0,34,val,32.420063,1.21
0,35,val,12.109529,1.21
1,0,train,39.172989,0.15
1,1,train,30.926952,0.21
1,2,train,38.173641,0.24
1,3,train,30.360289,0.28
1,4,train,45.248047,0.33
1,5,train,32.981483,0.37
1,6,train,30.418869,0.41
1,7,train,36.663670,0.44
1,8,train,32.216011,0.47
1,9,train,30.060890,0.51
1,10,train,29.398708,0.54
1,11,train,39.901894,0.57
1,12,train,25.661114,0.60
1,13,train,28.818848,0.63
1,0,val,13.335100,0.80
1,1,val,9.745156,0.81
1,2,val,41.683945,0.82
1,3,val,48.444981,0.83
1,4,val,10.268322,0.84
1,5,val,7.190264,0.84
1,6,val,49.822815,0.85
1,7,val,11.499061,0.86
1,8,val,5.427272,0.87
1,9,val,46.939980,0.88
1,10,val,53.167095,0.88
1,11,val,33.225452,0.90
1,12,val,38.875751,0.91
1,13,val,34.948009,0.92
1,14,val,40.907967,0.93
1,15,val,20.567430,0.95
1,16,val,35.750900,0.96
1,17,val,17.695507,0.97
1,18,val,7.447679,0.98
1,19,val,54.866108,0.99
1,20,val,18.771818,1.00
1,21,val,40.490398,1.01
1,22,val,31.421440,1.03
1,23,val,15.215787,1.04
1,24,val,6.425918,1.05
1,25,val,60.281994,1.05
1,26,val,9.189884,1.06
1,27,val,9.256943,1.07
1,28,val,11.081202,1.08
1,29,val,7.174566,1.09
1,30,val,9.237564,1.11
1,31,val,51.955544,1.11
1,32,val,50.457233,1.12
